subject_id,trial_id,response
0,1,f
0,2,f
0,3,j
0,4,f
0,5,f
0,6,f
0,7,f
0,8,f
0,9,f
0,10,j
0,11,j
0,12,j
0,13,f
0,14,f
0,15,f
0,16,f
0,17,f
0,18,f
0,19,j
0,20,f
0,21,f
0,22,f
0,23,f
0,24,j
0,25,j
0,26,f
0,27,j
0,28,j
0,29,f
0,30,j
0,31,f
0,32,f
0,33,f
0,34,f
0,35,f
0,36,f
0,37,j
0,38,j
0,39,f
0,40,j
0,41,f
0,42,f
0,43,f
0,44,j
0,45,f
0,46,f
0,47,f
0,48,f
0,49,f
0,50,f
0,51,f
0,52,f
0,53,f
0,54,f
0,55,f
0,56,j
0,57,j
0,58,f
0,59,j
0,60,j
0,61,f
0,62,j
0,63,f
0,64,j
0,65,f
0,66,f
0,67,j
0,68,j
0,69,j
0,70,j
0,71,j
0,72,f
0,73,f
0,74,j
0,75,f
0,76,j
0,77,j
0,78,f
0,79,f
0,80,j
0,81,j
0,82,f
0,83,j
0,84,f
0,85,f
0,86,f
0,87,f
0,88,f
0,89,f
0,90,f
0,91,f
0,92,f
0,93,f
0,94,f
0,95,f
0,96,f
0,97,f
0,98,f
0,99,f
0,100,f
0,101,j
0,102,f
0,103,f
0,104,f
0,105,f
0,106,f
0,107,f
0,108,f
0,109,f
0,110,j
0,111,f
0,112,f
0,113,f
0,114,f
0,115,f
0,116,f
0,117,j
0,118,f
0,119,f
0,120,f
0,121,j
0,122,f
0,123,f
0,124,f
0,125,j
0,126,f
0,127,f
0,128,f
0,129,f
0,130,f
0,131,f
0,132,f
0,133,f
0,134,j
0,135,j
0,136,f
0,137,f
0,138,f
0,139,j
0,140,f
0,141,f
0,142,f
0,143,f
0,144,f
0,145,f
0,146,f
0,147,j
0,148,f
0,149,f
0,150,f
0,151,f
0,152,f
0,153,f
0,154,f
0,155,f
0,156,j
0,157,j
0,158,f
0,159,j
0,160,f
0,161,j
0,162,j
0,163,j
0,164,j
0,165,f
0,166,j
0,167,f
0,168,f
0,169,f
0,170,j
0,171,f
0,172,f
0,173,j
0,174,f
0,175,f
0,176,j
0,177,f
0,178,j
0,179,f
0,180,f
0,181,f
0,182,f
0,183,j
0,184,j
0,185,f
0,186,f
0,187,f
0,188,f
0,189,j
0,190,f
0,191,j
0,192,f
0,193,f
0,194,j
0,195,j
0,196,j
0,197,j
0,198,j
0,199,j
0,200,f
0,201,f
0,202,f
0,203,f
0,204,f
0,205,f
0,206,j
0,207,f
0,208,f
0,209,j
0,210,f
0,211,j
0,212,j
0,213,j
0,214,f
0,215,f
0,216,f
0,217,f
0,218,j
0,219,f
0,220,f
0,221,f
0,222,f
0,223,f
0,224,f
0,225,f
0,226,f
0,227,f
0,228,j
0,229,j
0,230,f
0,231,f
0,232,j
0,233,f
0,234,f
0,235,f
0,236,f
0,237,f
0,238,f
0,239,f
0,240,f
0,241,f
0,242,f
0,243,f
0,244,f
0,245,f
0,246,f
0,247,f
0,248,f
0,249,j
0,250,j
0,251,f
0,252,j
0,253,j
0,254,f
0,255,j
0,256,j
0,257,j
0,258,j
0,259,j
0,260,f
0,261,f
0,262,j
0,263,j
0,264,f
0,265,j
0,266,f
0,267,j
0,268,f
0,269,f
0,270,j
0,271,j
0,272,j
0,273,f
0,274,f
0,275,j
0,276,j
0,277,j
0,278,j
0,279,j
0,280,j
0,281,j
0,282,f
0,283,f
0,284,j
0,285,f
0,286,j
0,287,j
0,288,f
